max_iter,Accuracy,Train Time,Test Time
50,0.939175,1.692289400001755,2.7574052999989362
100,0.939175,1.5752159000003303,6.47563430000082
150,0.939175,4.9705757000010635,7.8373264000001654
200,0.939175,5.1679119000000355,7.806968799999595
250,0.939175,6.21623610000097,7.820527100000618
300,0.939175,6.055748300001142,7.658466799999587
350,0.939175,6.08602030000111,7.706832300002134
400,0.939175,6.081739299999754,7.708271099996637
450,0.939175,6.055172999997012,7.676316899996891
500,0.939175,6.080565000000206,6.958749500001431
550,0.939175,5.9351280000009865,7.804265399998258
600,0.939175,4.27762470000016,6.693895800002792
650,0.939175,5.970600299999205,7.7345643999979075
700,0.939175,6.083978300001036,7.708993800002645
750,0.939175,6.0420954000001075,7.711184899999353
800,0.939175,6.137853600001108,7.655408300001
850,0.939175,6.067120899999281,7.752279399999679
900,0.939175,5.701120199999423,7.711390799999208
950,0.939175,6.0922248999995645,7.727919699998893
1000,0.939175,6.079142300000967,7.7344897000002675
