max_iter,Accuracy,Train Time,Test Time
5,0.8886,0.8588739999977406,2.8136651999993774
10,0.922475,0.9355594000007841,2.7639253999986977
15,0.937375,1.1168010999972466,2.7610129000022425
20,0.939075,1.2702202000000398,2.783751199996914
25,0.93925,1.484289699998044,3.015681000000768
30,0.93915,1.7708832999996957,3.2696103999987827
35,0.939175,1.8941742999995768,3.054621800001769
40,0.9392,1.6208932000008645,2.7821518999990076
45,0.939175,1.6178834000020288,2.7609909000020707
50,0.939175,1.6929631999992125,2.8909127000006265
55,0.939175,1.6166524000000209,2.775410099999135
60,0.939175,1.5800162000014097,2.7889310999998997
65,0.939175,1.5868282999981602,2.7832851000021037
70,0.939175,1.5795797999999195,2.7737849000004644
75,0.939175,1.5920153000006394,2.7703747999985353
80,0.939175,1.5887738000019453,2.7663600999985647
85,0.939175,1.5869301999991876,2.8584022000031837
90,0.939175,2.1098357000009855,2.7718836999993073
95,0.939175,1.5900127000022621,2.7939168000011705
100,0.939175,1.5866381000014371,2.7756015000013576
105,0.939175,1.5887910000019474,2.8064242000000377
110,0.939175,1.585076700001082,2.7856421999968006
115,0.939175,1.6259363999997731,2.7675113000004785
120,0.939175,1.5909909999973024,2.782437199999549
125,0.939175,1.5863370999977633,2.776589500001137
130,0.939175,1.5862830000005488,2.79467189999923
135,0.939175,1.7878490000002785,2.845300099997985
140,0.939175,1.7290513000007195,2.8332907000003615
145,0.939175,1.7145150000033027,2.824386100000993
150,0.939175,1.707944599998882,2.8241664999986824
155,0.939175,1.6873812999983784,2.8179512999995495
160,0.939175,1.6923304999982065,2.864474000001792
165,0.939175,1.974935899997945,3.1796881000009307
170,0.939175,1.7767725000012433,2.9679357999993954
175,0.939175,1.706949800001894,2.7741481000011845
180,0.939175,1.7084985000001325,2.8350628999978653
185,0.939175,1.7103422999971372,2.7896310000032827
190,0.939175,1.6985631999996258,2.7814698000001954
195,0.939175,1.699094999999943,2.8488709999983257
