tol & Accuracy & Train Time & Test Time  \\ \hline
1e-5 & 0.947425 & 4.003611199997977 & 7.922909400000208 \\ \hline
2e-5 & 0.947425 & 4.2788628000016615 & 7.739577399999689 \\ \hline
3e-5 & 0.94735 & 4.163964399998804 & 7.725567500001489 \\ \hline
4e-5 & 0.947425 & 4.044386400000803 & 7.573220199999923 \\ \hline
5e-5 & 0.947425 & 3.2668424000003142 & 7.904887199998484 \\ \hline
6e-5 & 0.947425 & 4.0817008999983955 & 7.7295152000006055 \\ \hline
7e-5 & 0.94735 & 4.139182800001436 & 7.917027199997392 \\ \hline
8e-5 & 0.947425 & 4.128755399997317 & 7.85660910000297 \\ \hline
9e-5 & 0.947425 & 4.085899300000165 & 7.897883100002218 \\ \hline
10e-5 & 0.9474 & 4.123635899999499 & 7.701511600000231 \\ \hline
0.000109 & 0.9474 & 4.228759500001615 & 7.84677290000036 \\ \hline
0.000119 & 0.947325 & 4.530962799999543 & 8.465964900002291 \\ \hline
0.000130 & 0.9474 & 4.158147000001918 & 7.903283699997701 \\ \hline
0.000140 & 0.947375 & 4.37583480000103 & 7.954423900002439 \\ \hline
0.000150 & 0.947425 & 4.0566743000017595 & 8.064890599998762 \\ \hline
0.000160 & 0.947375 & 3.9643651000005775 & 6.196274000001722 \\ \hline
0.000170 & 0.947425 & 4.265510599998379 & 7.807836200001475 \\ \hline
0.000180 & 0.94735 & 3.8480030999999144 & 7.9810003000020515 \\ \hline
0.000190 & 0.94735 & 4.152986499997496 & 8.055965599996853 \\ \hline
0.000200 & 0.947375 & 3.963446199999453 & 7.791754099998798 \\ \hline
