max_iter,Accuracy,Train Time,Test Time
500,0.947375,2.3825448999996297,8.305664499999693
1000,0.947425,4.2125210000012885,8.202156300001661
1500,0.947425,4.80557730000146,10.143855000002077
2000,0.947425,1.8573899000002712,2.9234590999985812
2500,0.947425,1.8290029000017967,2.860510999998951
3000,0.947425,1.786331399998744,2.877652399998624
3500,0.947425,1.8736796999983198,2.9010068999996292
4000,0.947425,1.7906452999995963,2.9808647999998357
4500,0.947425,1.8377957999982755,3.1045765000017127
5000,0.947425,1.9968857999992906,2.8480562000004284
5500,0.947425,1.8043066000027466,2.911182200001349
6000,0.947425,1.8670736000021861,2.945975800001179
6500,0.947425,1.8598506000016641,2.8241541999996116
7000,0.947425,5.563452799997322,2.8918325000013283
7500,0.947425,1.7365787000017008,2.8046727999972063
8000,0.947425,1.7801828000010573,2.85896970000249
8500,0.947425,1.8550078000007488,2.871004399999947
9000,0.947425,4.144320899999002,5.873704499997984
9500,0.947425,4.485788900001353,7.728395599999203
10000,0.947425,4.6742578000012145,7.994935999999143
