tol & Accuracy & Train Time & Test \\ \hline  
1e-05 & 0.939175 & 1.7962889000009454 & 2.79934250000224 \\ \hline
2e-05 & 0.939175 & 1.582904499999131 & 2.7679169999973965 \\ \hline
3e-05 & 0.939175 & 1.6479219999964698 & 2.803261900000507 \\ \hline
4e-05 & 0.939175 & 1.581372000000556 & 2.7826742000033846
5e-05 & 0.939175 & 1.6522972999991907 & 2.755526999997528 \\ \hline
6e-05 & 0.939175 & 1.5842693000013242 & 2.7810341000003973 \\ \hline
7e-05 & 0.939175 & 1.5849005999989458 & 2.7725371999986237 \\ \hline
8e-05 & 0.939175 & 1.6358251999990898 & 2.8107526000021608 \\ \hline
9e-05 & 0.939175 & 1.6899054999994405 & 3.0144035999983316 \\ \hline
10e-05 & 0.939175 & 1.7108103999999003 & 2.762937300001795 \\ \hline
0.00010 & 0.939175 & 1.5939072000001033 & 2.909693100002187 \\ \hline
0.00011 & 0.939175 & 1.6921083999986877 & 3.0275837000008323 \\ \hline
0.00013 & 0.939175 & 1.7356856000005791 & 2.922536599999148 \\ \hline
0.00014 & 0.939175 & 1.6597615999999107 & 2.7848665000019537 \\ \hline
0.00015 & 0.939175 & 1.5825604000019666 & 2.8546963000007963 \\ \hline
0.00016 & 0.939175 & 1.6091851000019233 & 5.723963399999775 \\ \hline
0.00017 & 0.939175 & 5.3294793999994 & 2.893108000000211 \\ \hline
0.00018 & 0.939175 & 1.6043592000023637 & 2.850816999998642 \\ \hline
0.00019 & 0.939175 & 1.6252469000028213 & 2.865195100002893 \\ \hline
0.00020 & 0.939175 & 1.6237021000015375 & 2.834120999999868 \\ \hline
