max_iter,Accuracy,Train Time,Test Time
50,0.942625,0.7529023999995843,3.1970567999997
100,0.947125,0.854452499999752,3.2900765999984287
150,0.946825,0.8209242000011727,2.9808744999972987
200,0.946875,0.8708148000005167,2.7740002000027744
250,0.9473,0.9161443000011786,2.7951279999979306
300,0.947075,1.1335006999979669,3.138942199999292
350,0.947075,1.10287149999931,3.1786102000005485
400,0.94725,1.2017574000019522,2.9572999000010896
450,0.947325,1.2482971999997972,3.0014704999994137
500,0.9473,1.3296733000024687,5.9207782999983465
550,0.9474,1.2196328999998514,2.79535290000058
600,0.947275,1.2542366000016045,2.751699100001133
650,0.9473,1.2994098999988637,2.764861799998471
700,0.94745,1.3451973000010184,2.7434321000000637
750,0.94735,1.4458736999986286,2.9657144000011613
800,0.9473,1.45631339999818,2.749494700001378
850,0.947275,1.4619220999993559,2.8892363000013574
900,0.94735,1.5359447000009823,2.836095500002557
950,0.947475,1.5566146999990451,2.8590053000007174
1000,0.947425,1.5916582999998354,3.0265624999992724
1050,0.947375,1.6298064000002341,2.9194234000024153
1100,0.9474,1.634751800000231,2.7885803999997734
1150,0.947375,1.6672599999983504,2.7812844999971276
1200,0.947425,1.716476400000829,2.814771599998494
1250,0.947425,1.7290342999986024,2.7838350999991235
1300,0.947425,1.7201975999996648,2.839803500002745
1350,0.947425,1.7912164999979723,2.97016480000093
1400,0.947425,2.0005302999998094,3.132626899998286
1450,0.947425,1.8682680999991135,2.987894400001096
1500,0.947425,1.7373563000001013,3.0770666999997047
1550,0.947425,1.9737371999981406,2.862865299997793
1600,0.947425,1.7385498999974516,2.795392299998639
1650,0.947425,4.467580499996984,5.822763599997415
1700,0.947425,4.718123999999079,8.021062999996502
1750,0.947425,4.683075699998881,7.753322299999127
1800,0.947425,3.384679999999207,9.78991550000137
1850,0.947425,4.439919000000373,7.77088939999885
1900,0.947425,4.657519199998205,7.743480799999816
1950,0.947425,4.70864900000015,7.773716700001387
